Id,Call Timestamp,Call-Centres City,Channel,City,Customer Name,Reason,Response Time,Sentiment,State,Call Duration In Minutes,Csat Score
DJU-19977844-M-356042-cQ,11-10-2020,Chicago,Call-Center,Lansing,Tammie Bettinson,Payments,Within SLA,Very Negative,Michigan,9,
ADD-82219259-r-882390-EG,12-10-2020,Baltimore,Chatbot,Fort Wayne,Errol Follos,Billing Question,Below SLA,Neutral,Indiana,35,
YOB-40492230-M-009287-T8,08-10-2020,Baltimore,Email,Hayward,Nanni Doy,Billing Question,Within SLA,Negative,California,27,5
GZD-50459522-O-178569-D2,03-10-2020,Chicago,Chatbot,Santa Barbara,Sophie Kleinerman,Billing Question,Within SLA,Very Negative,California,20,2
FQX-24118867-H-358169-3N,28-10-2020,Baltimore,Call-Center,Memphis,Timotheus Menlove,Billing Question,Within SLA,Negative,Tennessee,43,
SVH-32880745-c-681066-4a,06-10-2020,Baltimore,Chatbot,Murfreesboro,Allayne Lednor,Service Outage,Below SLA,Negative,Tennessee,41,
ISK-94965442-x-233388-Vz,22-10-2020,Denver,Chatbot,Lubbock,Bethina Fazzioli,Billing Question,Below SLA,Positive,Texas,45,
WUJ-90727821-m-177169-j0,01-10-2020,Baltimore,Call-Center,New York City,Stanwood Esley,Billing Question,Within SLA,Very Negative,New York,19,
PKG-51691289-6-484895-mg,05-10-2020,Chicago,Call-Center,Oklahoma City,Anissa Kinrade,Payments,Within SLA,Very Positive,Oklahoma,40,
YSU-89393344-7-508964-gG,30-10-2020,Chicago,Chatbot,Omaha,Bradly Dinkin,Billing Question,Below SLA,Very Positive,Nebraska,6,
OKT-23554135-U-885557-tw,27-10-2020,Los Angeles,Web,Birmingham,Callida Le Franc,Billing Question,Within SLA,Negative,Alabama,26,6
PWN-23158453-4-345907-mh,30-10-2020,Baltimore,Chatbot,Jamaica,Jdavie Fasler,Service Outage,Below SLA,Neutral,New York,10,
SOU-95968322-O-261597-9F,01-10-2020,Los Angeles,Chatbot,Atlanta,Saundra Greenshields,Billing Question,Below SLA,Very Negative,Georgia,35,
IFI-31277173-T-796016-Ej,03-10-2020,Baltimore,Email,Clearwater,Joseph Trenear,Service Outage,Within SLA,Negative,Florida,38,
TAP-16251358-j-875784-7e,07-10-2020,Chicago,Call-Center,New York City,Kaylil Randell,Billing Question,Above SLA,Very Negative,New York,17,2
IZI-93062579-M-779259-Aj,13-10-2020,Los Angeles,Call-Center,Los Angeles,Quinton Marchelli,Payments,Within SLA,Positive,California,39,
YUZ-85735662-N-048492-c4,19-10-2020,Baltimore,Chatbot,Richmond,Hakim Saywood,Billing Question,Within SLA,Negative,Virginia,30,
FXL-84178942-u-052829-XI,11-10-2020,Baltimore,Email,Dallas,Lucilia Blenkhorn,Billing Question,Within SLA,Negative,Texas,39,
VJQ-35718541-f-410836-5V,04-10-2020,Baltimore,Email,Louisville,Ophelia Thresh,Billing Question,Above SLA,Negative,Kentucky,15,
WWE-90128095-o-317664-QO,27-10-2020,Los Angeles,Call-Center,Lubbock,Norine Hedau,Payments,Within SLA,Negative,Texas,36,
WRN-02286567-g-819640-IF,13-10-2020,Los Angeles,Email,Houston,Inessa Trippitt,Billing Question,Above SLA,Very Positive,Texas,16,9
GII-58879080-G-003855-fq,22-10-2020,Los Angeles,Email,Spokane,Clarence Heymann,Billing Question,Above SLA,Very Negative,Washington,40,
LEI-66844798-H-062686-fX,18-10-2020,Baltimore,Email,Flint,Dermot Capponer,Billing Question,Below SLA,Very Negative,Michigan,30,
GJA-73841780-H-981786-el,21-10-2020,Baltimore,Email,New York City,Paulette Tartt,Billing Question,Within SLA,Very Negative,New York,14,1
WMK-53470523-t-979771-6D,23-10-2020,Baltimore,Chatbot,Washington,Tamarra Pavier,Billing Question,Within SLA,Negative,District of Columbia,14,4
RFH-13005335-x-941945-KY,14-10-2020,Chicago,Call-Center,Rockford,Darcy Cuncarr,Billing Question,Within SLA,Negative,Illinois,37,4
TCF-76185462-G-581239-Uh,11-10-2020,Chicago,Email,Las Vegas,Ab Potteril,Billing Question,Below SLA,Very Negative,Nevada,10,2
PHM-21046348-y-700571-Q0,19-10-2020,Baltimore,Call-Center,Elmira,Christi Matveichev,Billing Question,Within SLA,Neutral,New York,24,
RTW-93566842-a-737480-ex,06-10-2020,Los Angeles,Call-Center,Houston,Luca Castel,Payments,Within SLA,Positive,Texas,44,9
EVX-57238379-w-409038-iP,27-10-2020,Los Angeles,Web,Daytona Beach,Sonnie Pickvance,Billing Question,Within SLA,Positive,Florida,18,7
HGJ-90827281-o-285311-OH,19-10-2020,Baltimore,Web,Inglewood,Abramo Tottman,Billing Question,Above SLA,Very Negative,California,33,1
RMP-80622052-4-366156-CW,08-10-2020,Los Angeles,Call-Center,Cincinnati,Evanne Domeny,Billing Question,Below SLA,Very Negative,Ohio,20,
QOT-98385562-d-413189-ae,05-10-2020,Denver,Web,Greeley,Welsh Eisig,Billing Question,Within SLA,Very Negative,Colorado,21,
EAE-65130530-2-175819-Fy,28-10-2020,Los Angeles,Call-Center,Fort Worth,Terrye Conring,Payments,Within SLA,Very Negative,Texas,29,3
DVL-23396440-Q-486865-FM,26-10-2020,Baltimore,Call-Center,Mobile,Kinny Foxall,Payments,Below SLA,Very Negative,Alabama,25,
NEC-52763410-8-812910-pI,25-10-2020,Denver,Email,Charlotte,Dare Ropcke,Billing Question,Within SLA,Positive,North Carolina,34,8
XAW-53304484-e-433257-XN,28-10-2020,Los Angeles,Call-Center,Reading,Cornelia Dunbabin,Billing Question,Within SLA,Neutral,Pennsylvania,9,
NXV-10881978-9-946923-43,15-10-2020,Baltimore,Email,Jamaica,Cathrine Samwayes,Billing Question,Above SLA,Very Negative,New York,19,3
MDE-83031739-m-664425-oX,18-10-2020,Los Angeles,Chatbot,Dallas,Katy Flaxman,Billing Question,Within SLA,Negative,Texas,13,
WRH-77726615-b-077434-rN,11-10-2020,Baltimore,Chatbot,Albuquerque,Lily Mackneis,Billing Question,Within SLA,Very Negative,New Mexico,28,
NHW-21028958-t-422528-Io,30-10-2020,Los Angeles,Chatbot,Lawrenceville,Brigid Bolduc,Billing Question,Within SLA,Neutral,Georgia,12,
KAT-16845483-b-068292-1G,12-10-2020,Denver,Chatbot,San Diego,Bobette Dominik,Billing Question,Within SLA,Neutral,California,43,
AIL-21152814-d-948025-n4,09-10-2020,Los Angeles,Chatbot,Atlanta,Evvy Strodder,Billing Question,Below SLA,Very Negative,Georgia,18,
MWN-00656157-D-072318-s6,09-10-2020,Los Angeles,Web,Jackson,Stirling Melonby,Billing Question,Within SLA,Negative,Mississippi,13,
WPV-53866208-i-349806-BS,30-10-2020,Baltimore,Chatbot,Brooklyn,Casey Leuren,Billing Question,Within SLA,Neutral,New York,11,8
VFQ-57739589-l-193160-SS,21-10-2020,Chicago,Chatbot,Des Moines,Daryl Brockington,Service Outage,Within SLA,Neutral,Iowa,34,
CYA-41460660-A-483427-PH,02-10-2020,Denver,Call-Center,Athens,Filippo Lobb,Payments,Within SLA,Very Positive,Georgia,28,10
KAJ-22233064-X-517737-X0,17-10-2020,Los Angeles,Email,Spring,Shane Edland,Billing Question,Below SLA,Very Positive,Texas,5,10
LUH-80430657-z-207262-lV,09-10-2020,Baltimore,Call-Center,Tucson,Burtie Crisford,Billing Question,Within SLA,Very Negative,Arizona,7,
ZHL-06753407-O-331004-y6,28-10-2020,Los Angeles,Chatbot,Austin,Arabele Clerke,Service Outage,Below SLA,Neutral,Texas,39,
QGD-50303332-A-087785-PH,06-10-2020,Baltimore,Chatbot,Las Vegas,Giustino Kennermann,Service Outage,Within SLA,Very Negative,Nevada,19,
ZJX-47155083-b-805254-9M,12-10-2020,Baltimore,Call-Center,Jackson,Glori Oleksiak,Payments,Below SLA,Negative,Tennessee,18,
LMR-68858294-L-183176-Qy,02-10-2020,Chicago,Call-Center,Dallas,Rey Sabatini,Payments,Within SLA,Negative,Texas,7,
FKP-23360048-y-114896-NK,24-10-2020,Baltimore,Call-Center,Washington,Brandyn Venneur,Payments,Within SLA,Very Positive,District of Columbia,22,
AXT-89051099-d-054300-XT,23-10-2020,Denver,Web,Philadelphia,Pierce Gallichan,Billing Question,Above SLA,Negative,Pennsylvania,36,
AOG-02888619-4-739374-wN,28-10-2020,Los Angeles,Email,Fresno,Chilton Ropars,Service Outage,Within SLA,Neutral,California,25,
OPL-13984987-m-901880-um,03-10-2020,Baltimore,Email,Los Angeles,Hayley Asty,Billing Question,Within SLA,Very Negative,California,27,3
YWB-65644523-O-674458-XP,25-10-2020,Los Angeles,Call-Center,Baton Rouge,Kore Whittle,Billing Question,Within SLA,Positive,Louisiana,26,
IYD-81228771-b-769762-1V,19-10-2020,Los Angeles,Call-Center,Delray Beach,Abeu Anwyl,Billing Question,Within SLA,Positive,Florida,5,
ZHN-91225755-t-681844-LG,12-10-2020,Los Angeles,Call-Center,White Plains,Feliks People,Payments,Within SLA,Neutral,New York,29,6
IHI-72966951-G-403110-Sy,23-10-2020,Denver,Chatbot,Peoria,Shell Duiguid,Billing Question,Within SLA,Negative,Illinois,31,
IUP-65163856-f-184879-aa,29-10-2020,Chicago,Chatbot,Des Moines,Evania Mildner,Billing Question,Above SLA,Neutral,Iowa,10,
DAN-39591608-P-003798-Bg,17-10-2020,Los Angeles,Email,Knoxville,Alie Myles,Billing Question,Within SLA,Very Positive,Tennessee,23,
VKG-54364407-E-601314-Fp,16-10-2020,Los Angeles,Web,Dallas,Kincaid MacLachlan,Billing Question,Within SLA,Neutral,Texas,27,
AJF-10178673-I-311710-Fh,13-10-2020,Baltimore,Call-Center,Anchorage,Rutherford Champain,Payments,Below SLA,Negative,Alaska,10,
NBG-56274949-o-852036-dB,16-10-2020,Los Angeles,Email,Phoenix,Clair Swallow,Billing Question,Above SLA,Neutral,Arizona,30,
JIG-42904757-r-372395-ZH,05-10-2020,Baltimore,Web,Tallahassee,Westleigh Bentzen,Billing Question,Above SLA,Very Negative,Florida,36,
QKD-91233651-M-990701-UR,16-10-2020,Los Angeles,Email,Saint Paul,Christophe Rosengart,Billing Question,Within SLA,Positive,Minnesota,8,
KLM-90591825-E-378019-Ie,23-10-2020,Los Angeles,Chatbot,Glendale,Austina Swynfen,Service Outage,Above SLA,Positive,Arizona,33,
VLX-33683640-T-372040-uu,26-10-2020,Chicago,Call-Center,Cleveland,Celestina Tackes,Billing Question,Within SLA,Negative,Ohio,43,5
YOK-23627279-k-431497-L2,07-10-2020,Baltimore,Chatbot,Cape Coral,Oswald Brawson,Billing Question,Within SLA,Positive,Florida,23,
BIL-26875178-G-474377-tv,22-10-2020,Chicago,Call-Center,Charlotte,Zechariah Ingarfield,Billing Question,Within SLA,Negative,North Carolina,25,
RDL-63750260-P-416532-DU,03-10-2020,Los Angeles,Chatbot,El Paso,Gussie Vowles,Service Outage,Above SLA,Negative,Texas,31,6
CAG-24954306-H-104528-3n,05-10-2020,Los Angeles,Call-Center,Charleston,Felisha Sprowle,Billing Question,Within SLA,Negative,West Virginia,12,
HFL-70785916-D-871851-or,29-10-2020,Los Angeles,Call-Center,Valdosta,Lorna Boggish,Billing Question,Within SLA,Very Negative,Georgia,40,
CZG-05210179-2-615320-oK,04-10-2020,Baltimore,Call-Center,Jacksonville,Charmion Sopp,Payments,Within SLA,Neutral,Florida,38,
QCH-73713558-G-204641-Mt,14-10-2020,Baltimore,Email,New Orleans,Brande Adamini,Billing Question,Within SLA,Neutral,Louisiana,17,
WIQ-06317928-k-919384-Q2,17-10-2020,Denver,Chatbot,Tacoma,Karl Woolaston,Service Outage,Within SLA,Positive,Washington,31,
JMP-77172697-n-901768-bp,03-10-2020,Los Angeles,Chatbot,Phoenix,Gaven Blandamore,Billing Question,Within SLA,Very Negative,Arizona,18,
HKE-85931805-N-030647-oR,06-10-2020,Los Angeles,Chatbot,San Jose,Pieter Pheasey,Service Outage,Within SLA,Negative,California,39,
TQA-46056709-v-539940-ee,14-10-2020,Los Angeles,Web,Charlotte,Taddeusz Badcock,Billing Question,Below SLA,Negative,North Carolina,45,6
WZW-59071138-j-875358-dO,19-10-2020,Los Angeles,Chatbot,Dayton,Ellyn McCaskill,Billing Question,Within SLA,Very Positive,Ohio,30,10
ORE-49445345-7-879511-FT,21-10-2020,Baltimore,Web,Washington,Amargo Eplate,Billing Question,Below SLA,Positive,District of Columbia,45,8
DDC-15300112-m-922879-u2,11-10-2020,Baltimore,Chatbot,Charlotte,Lorrie Spong,Billing Question,Within SLA,Very Negative,North Carolina,9,
XOD-41601699-M-437189-Vy,19-10-2020,Los Angeles,Web,Dayton,Teodoro Denkin,Billing Question,Within SLA,Positive,Ohio,34,
BGB-25489336-F-739158-Vd,09-10-2020,Baltimore,Chatbot,Houston,Vale Bouette,Service Outage,Within SLA,Neutral,Texas,25,
YUK-10925388-i-304236-Br,01-10-2020,Los Angeles,Chatbot,New York City,Pren Klus,Billing Question,Within SLA,Neutral,New York,12,
UMM-77438392-W-343952-6Y,28-10-2020,Baltimore,Web,Philadelphia,Carola Gummery,Billing Question,Within SLA,Neutral,Pennsylvania,44,8
ZUX-00417832-N-543837-Pe,05-10-2020,Los Angeles,Chatbot,Roanoke,Faina Matyasik,Billing Question,Within SLA,Negative,Virginia,16,6
UMY-95311157-A-947677-HK,01-10-2020,Baltimore,Chatbot,Ocala,Doloritas enzley,Service Outage,Within SLA,Very Negative,Florida,36,3
AGX-79640692-7-100627-x4,04-10-2020,Chicago,Email,Lexington,Torrie Wann,Billing Question,Below SLA,Negative,Kentucky,25,
EVY-85902976-a-973416-a6,19-10-2020,Denver,Call-Center,Washington,Fifi Brien,Payments,Within SLA,Very Positive,District of Columbia,18,
YNX-08765761-t-935381-BC,06-10-2020,Chicago,Email,Springfield,Aggie Pennicard,Billing Question,Above SLA,Neutral,Illinois,8,
RAU-37744396-2-812188-W2,04-10-2020,Denver,Chatbot,Salt Lake City,Ailsun Feaks,Billing Question,Within SLA,Negative,Utah,17,
UPZ-68823283-g-164011-tl,10-10-2020,Los Angeles,Call-Center,Austin,Fina Hebborn,Billing Question,Below SLA,Negative,Texas,39,
NMS-25456230-5-260339-Sn,04-10-2020,Los Angeles,Email,Kent,Hazel Sheed,Billing Question,Within SLA,Positive,Washington,10,
XMQ-21155114-J-492481-y0,23-10-2020,Baltimore,Call-Center,Detroit,Vallie Frusher,Payments,Below SLA,Very Negative,Michigan,40,
PXG-75757404-D-089250-VQ,03-10-2020,Baltimore,Chatbot,Apache Junction,Ephrem Sweetland,Service Outage,Within SLA,Neutral,Arizona,16,
VQX-77431944-V-379779-rN,22-10-2020,Los Angeles,Email,Salem,Ines Cosson,Service Outage,Above SLA,Negative,Oregon,19,
XRH-28039385-i-441412-qT,28-10-2020,Los Angeles,Email,Arlington,Tildi Perfitt,Service Outage,Within SLA,Neutral,Virginia,18,
EZG-96969078-O-814391-br,05-10-2020,Chicago,Call-Center,Lehigh Acres,Emmalynn Torry,Billing Question,Within SLA,Neutral,Florida,42,7
YHS-37219789-W-476570-qZ,14-10-2020,Los Angeles,Email,Hattiesburg,Flemming Sullens,Billing Question,Within SLA,Negative,Mississippi,42,
CMN-43419712-H-829273-3y,09-10-2020,Denver,Call-Center,Saint Paul,Rowen Snow,Payments,Below SLA,Positive,Minnesota,32,9
FBO-87879427-J-009183-mG,14-10-2020,Los Angeles,Call-Center,Boston,Corbet Baleine,Payments,Within SLA,Positive,Massachusetts,42,9
VEE-48830806-E-435650-BJ,08-10-2020,Baltimore,Web,Orlando,Kerry Trusslove,Service Outage,Within SLA,Negative,Florida,20,
JWP-41440696-2-031451-C6,15-10-2020,Chicago,Call-Center,Winston Salem,Boycie Tegler,Billing Question,Within SLA,Very Negative,North Carolina,37,4
KGG-17002859-h-043550-OQ,11-10-2020,Los Angeles,Web,Lakewood,Aurelie Gundry,Billing Question,Above SLA,Positive,Washington,11,
WCW-60464774-8-695239-xQ,07-10-2020,Chicago,Web,Metairie,Rachelle Gellibrand,Billing Question,Within SLA,Positive,Louisiana,13,
UGV-83416198-x-359115-7q,17-10-2020,Los Angeles,Web,Portland,Arleta Staniland,Billing Question,Below SLA,Positive,Oregon,31,8
JDY-21229920-K-658247-id,18-10-2020,Chicago,Web,Austin,Lucky Paladini,Billing Question,Within SLA,Negative,Texas,28,
MNT-33811761-U-959291-5J,06-10-2020,Los Angeles,Chatbot,Richmond,Inga Grenkov,Billing Question,Below SLA,Negative,California,43,5
AYN-54834891-R-354000-hr,23-10-2020,Baltimore,Web,Charlotte,Ashla Raffles,Billing Question,Below SLA,Neutral,North Carolina,9,
MBV-45413978-v-824180-Qi,26-10-2020,Baltimore,Email,Lexington,Vikky Keune,Billing Question,Within SLA,Very Positive,Kentucky,16,10
XKQ-86388884-2-623657-TD,11-10-2020,Baltimore,Email,Bronx,Fransisco Oager,Service Outage,Below SLA,Very Negative,New York,36,
HLJ-99212779-W-167630-1I,25-10-2020,Baltimore,Web,Washington,Peyter Balogun,Billing Question,Within SLA,Positive,District of Columbia,13,8
RLG-69874742-f-666744-im,02-10-2020,Chicago,Web,Colorado Springs,Cybill Curnok,Service Outage,Below SLA,Neutral,Colorado,35,
NWG-45955402-4-774653-2L,25-10-2020,Los Angeles,Chatbot,Fredericksburg,Marlo Hillin,Billing Question,Within SLA,Very Negative,Virginia,6,2
KUZ-89193200-l-141645-d9,22-10-2020,Los Angeles,Call-Center,Springfield,Ricky Bonavia,Payments,Within SLA,Very Positive,Illinois,30,
DFG-59356303-I-414939-zb,10-10-2020,Los Angeles,Email,Troy,Feliza Sipson,Service Outage,Within SLA,Negative,Michigan,8,
TTI-53335670-t-550401-k3,29-10-2020,Chicago,Call-Center,Fort Wayne,Cristin Malkinson,Billing Question,Above SLA,Very Positive,Indiana,16,
SHV-99168018-u-774671-0p,05-10-2020,Los Angeles,Web,Corpus Christi,Hilde Clarkin,Billing Question,Below SLA,Negative,Texas,5,
MIJ-38906805-w-561289-qL,07-10-2020,Los Angeles,Chatbot,Canton,Orelia Orae,Billing Question,Below SLA,Negative,Ohio,24,
TGV-97529818-F-226520-Gq,03-10-2020,Los Angeles,Email,Honolulu,Jenn Brownhill,Billing Question,Within SLA,Neutral,Hawaii,28,
MOC-43485174-5-316370-dD,30-10-2020,Los Angeles,Chatbot,Shreveport,Maison Deverose,Billing Question,Above SLA,Negative,Louisiana,15,
YJM-29316870-c-314136-0T,15-10-2020,Baltimore,Call-Center,Tulsa,Gery Portlock,Billing Question,Within SLA,Negative,Oklahoma,10,
GTY-39005350-Q-328428-YA,29-10-2020,Chicago,Web,Charleston,Josey Osinin,Billing Question,Below SLA,Negative,West Virginia,36,6
YGX-70181255-1-256525-By,23-10-2020,Baltimore,Chatbot,Tampa,Clarine Moodie,Billing Question,Below SLA,Positive,Florida,23,7
XNL-78408806-T-458965-qS,30-10-2020,Los Angeles,Call-Center,Memphis,Geri Covelle,Billing Question,Within SLA,Neutral,Tennessee,28,6
PXT-69194953-d-447393-QR,11-10-2020,Chicago,Chatbot,Burbank,Marga Demicoli,Billing Question,Above SLA,Negative,California,37,4
JRK-00609213-W-674012-db,25-10-2020,Los Angeles,Call-Center,Dallas,Maxim Scandroot,Payments,Within SLA,Neutral,Texas,27,6
KTC-30853866-q-759167-aF,27-10-2020,Denver,Chatbot,Lexington,Nadeen Pittendreigh,Billing Question,Within SLA,Neutral,Kentucky,37,7
HZX-57540856-P-760144-Pq,07-10-2020,Los Angeles,Email,Pompano Beach,Marrilee McArd,Billing Question,Within SLA,Neutral,Florida,11,5
BGF-80045023-s-226299-lK,09-10-2020,Baltimore,Call-Center,Las Vegas,Corella Pollicatt,Billing Question,Within SLA,Negative,Nevada,15,
LWD-82447125-D-644546-bf,05-10-2020,Chicago,Web,Washington,Augustina Vockins,Billing Question,Below SLA,Negative,District of Columbia,38,
FPF-80857502-f-712054-6o,25-10-2020,Los Angeles,Web,Fort Myers,Zarah Johann,Billing Question,Within SLA,Negative,Florida,13,4
AQP-09146601-u-158026-WF,18-10-2020,Baltimore,Call-Center,Roanoke,Redford Ivanishchev,Payments,Below SLA,Very Positive,Virginia,11,9
ASS-22875557-o-550724-IC,16-10-2020,Baltimore,Chatbot,Miami,Terrill Kick,Service Outage,Within SLA,Neutral,Florida,32,7
LCC-98072611-T-854471-sd,16-10-2020,Chicago,Email,Lincoln,Keith Krug,Billing Question,Below SLA,Neutral,Nebraska,8,
DSU-28581460-x-002850-q8,15-10-2020,Los Angeles,Web,Hartford,Alfonso Ardling,Billing Question,Within SLA,Positive,Connecticut,29,7
CAU-19658969-U-798035-SD,21-10-2020,Denver,Call-Center,San Francisco,Rachele Haville,Billing Question,Within SLA,Neutral,California,8,
ODP-49997228-u-303230-W5,19-10-2020,Los Angeles,Chatbot,Minneapolis,Joachim Armand,Service Outage,Below SLA,Negative,Minnesota,39,
CDP-21514284-p-871522-Xi,07-10-2020,Baltimore,Chatbot,San Francisco,Kathryn Roof,Service Outage,Within SLA,Very Negative,California,24,
VVN-36195665-z-321563-dI,24-10-2020,Los Angeles,Chatbot,Peoria,Lewiss Guillard,Service Outage,Below SLA,Neutral,Illinois,24,7
RVE-32116131-o-035627-C3,15-10-2020,Baltimore,Email,Fayetteville,Marjy Inmett,Billing Question,Within SLA,Very Positive,North Carolina,27,
DIY-05490783-q-896657-pm,18-10-2020,Los Angeles,Chatbot,Albuquerque,Vince Archard,Billing Question,Within SLA,Positive,New Mexico,30,
KUF-49133016-8-128406-mx,07-10-2020,Baltimore,Call-Center,Houston,Rooney Hegg,Billing Question,Above SLA,Negative,Texas,33,4
QKX-98879212-W-424340-cV,29-10-2020,Los Angeles,Call-Center,San Francisco,Kimmi Frost,Payments,Within SLA,Positive,California,7,
NGK-06105458-8-018546-uH,29-10-2020,Los Angeles,Chatbot,Tacoma,Minnaminnie Dollman,Billing Question,Within SLA,Negative,Washington,20,6
XUU-06543953-1-404556-et,19-10-2020,Chicago,Chatbot,Montgomery,Natale Slyne,Service Outage,Above SLA,Neutral,Alabama,44,
XCL-88834572-N-136296-Iw,20-10-2020,Los Angeles,Chatbot,San Francisco,Aeriell Croft,Billing Question,Within SLA,Neutral,California,30,
GVD-91650922-K-616880-vu,17-10-2020,Baltimore,Email,Montgomery,Ailyn Langstone,Billing Question,Above SLA,Very Positive,Alabama,15,9
OGR-34257616-4-553825-Wi,14-10-2020,Baltimore,Web,Fredericksburg,Tobin Kerss,Billing Question,Within SLA,Positive,Virginia,25,
YLS-51088325-f-606647-fC,29-10-2020,Baltimore,Web,Macon,Bjorn Collingwood,Service Outage,Within SLA,Very Negative,Georgia,28,4
RHI-49583683-y-738413-bh,13-10-2020,Baltimore,Chatbot,Glendale,Mateo Northcliffe,Billing Question,Above SLA,Negative,California,33,
KLT-10950188-s-340191-Po,15-10-2020,Baltimore,Chatbot,Peoria,Hanni Curryer,Billing Question,Within SLA,Negative,Arizona,9,
EPM-97130933-U-560212-dr,17-10-2020,Los Angeles,Web,South Bend,Hollie Gibbetts,Billing Question,Within SLA,Negative,Indiana,43,
KKP-08307815-a-533858-sL,11-10-2020,Baltimore,Chatbot,Erie,Murray Calyton,Service Outage,Below SLA,Negative,Pennsylvania,10,
NKL-46661864-X-889382-vO,11-10-2020,Chicago,Call-Center,Sterling,Etti Stanmer,Payments,Within SLA,Negative,Virginia,25,4
VII-30050552-K-168241-4d,03-10-2020,Los Angeles,Web,Littleton,Powell Swainston,Billing Question,Within SLA,Negative,Colorado,35,
JWN-58736401-R-365072-mB,10-10-2020,Baltimore,Email,Louisville,Sanford Cush,Billing Question,Above SLA,Very Positive,Kentucky,16,
GVY-11647966-a-242642-Ts,25-10-2020,Chicago,Web,Salt Lake City,Pansie Drydale,Billing Question,Below SLA,Very Positive,Utah,44,10
JDO-60656911-A-751635-zk,17-10-2020,Denver,Email,Yakima,Jandy Haggidon,Billing Question,Within SLA,Very Negative,Washington,21,
VOC-15433417-2-640871-xI,26-10-2020,Los Angeles,Email,San Antonio,Mimi Simes,Billing Question,Within SLA,Neutral,Texas,27,
NOF-50415111-D-683237-E2,29-10-2020,Los Angeles,Web,Tucson,Sinclare Dimbleby,Billing Question,Below SLA,Positive,Arizona,40,
AYV-71800346-v-716698-0K,02-10-2020,Chicago,Chatbot,Fort Pierce,Cheston Benedit,Billing Question,Below SLA,Very Negative,Florida,37,
PZF-77443224-T-448230-DO,10-10-2020,Chicago,Email,Philadelphia,Daffy Artus,Billing Question,Below SLA,Positive,Pennsylvania,6,
SNU-61151605-I-718928-QU,22-10-2020,Chicago,Call-Center,Baton Rouge,Jessamine Guillou,Payments,Within SLA,Positive,Louisiana,45,9
TXP-49780508-H-755728-Ng,26-10-2020,Baltimore,Web,Glendale,Marsha Di Bernardo,Billing Question,Within SLA,Very Positive,California,34,9
